location_code,replicate_code,Lres,Mres,Hres
Atd,SuATd1,0.03,1.51,3.17
Atd,SuATd2,0.01,2.05,2.07
Atd,SuATd3,0.04,1.37,1.16
Atd,SuATd4,0.03,1.03,2.5
Atd,SuATd5,0.03,1.45,4.14
Atd,SuATd6,0.04,0.88,3.55
Apd,SuAPd1,0.03,2.42,0.83
Apd,SuAPd2,0.06,1.28,2.26
Apd,SuAPd3,0.05,0.88,1.19
Apd,SuAPd4,0.04,1.23,0.36
Apd,SuAPd5,0.02,1.1,1.17
Apd,SuAPd6,0.07,0.77,0.89
At,SuAT1,0,2.47,3.97
At,SuAT2,0.04,1.74,3.23
At,SuAT3,0.05,1.01,3.79
At,SuAT4,0.01,0.78,1.49
At,SuAT5,0.05,1.29,2.45
At,SuAT6,0.04,3.22,1.59
Ap,SuAP1,0.02,0.69,0.86
Ap,SuAP2,0.04,0.92,1.35
Ap,SuAP3,0.02,1.44,3.36
Ap,SuAP4,0,1.79,1.1
Ap,SuAP5,0.01,1.07,1.13
Ap,SuAP6,0.02,1.24,0.95
ADA,SuADA1,0,0.62,0.5
ADA,SuADA2,0,0.44,0.15
ADA,SuADA3,0,0.52,0.4
ADA,SuADA4,0.01,0.9,0.35
ADA,SuADA5,0,1,0.15
ADA,SuADA6,0,0.75,0.21
AL,SuAL1,0.01,0.3,0.32
AL,SuAL2,0,0.51,0.06
AL,SuAL3,0,0.18,0.14
AL,SuAL4,0,0.32,0.25
AL,SuAL5,0.02,0.3,0.22
AL,SuAL6,0,0.94,0.27
AR,SuAR1,0,0.55,0.51
AR,SuAR2,0.01,0.52,0.78
AR,SuAR3,0.01,0.34,0.45
AR,SuAR4,0.03,1.53,0.31
AR,SuAR5,0,0.27,0.3
AR,SuAR6,0,0.63,0.2
CA,SuCA1,0.01,0.41,0.4
CA,SuCA2,0.02,0.28,0.56
CA,SuCA3,0.02,0.36,0.72
CG,SuCG1,0,1.51,1.39
CG,SuCG2,0.01,1.49,3.57
CG,SuCG3,0,0.71,3.8
CD,SuCD1,0.01,0.76,0.57
CD,SuCD2,0.01,0.81,0.66
CD,SuCD3,0.01,1.18,0.51
CN,SuCN1,0.02,0.63,1.22
CN,SuCN2,0,0.69,0.79
CN,SuCN3,0.02,0.58,0.55
CS,SuCS1,0.01,0.84,0.54
CS,SuCS2,0.02,0.47,0.2
CS,SuCS3,0.01,0.86,0.48
CT,SuCT1,0.01,0.58,1.56
CT,SuCT2,0.02,1.37,2.01
CT,SuCT3,0.02,0.83,0.84
S2C,SuS2C1,0.02,0.82,4.56
S2C,SuS2C2,0.03,0.91,0.53
S2C,SuS2C3,0.06,0.74,0.49
S2C,SuS2C4,0.04,0.46,0.41
S2C,SuS2C5,0.03,0.63,0.37
S2C,SuS2C6,0.02,0.35,0.22
S2CE,SuS2CE1,0.05,0.52,0.58
S2CE,SuS2CE2,0.01,0.81,0.29
S2CE,SuS2CE3,0,0.53,0.35
S2CE,SuS2CE4,0.02,0.88,0.57
S2CE,SuS2CE5,0.04,0.91,0.78
S2CE,SuS2CE6,0.01,0.69,1.24
S2G,SuS2G1,0.03,0.2,0.45
S2G,SuS2G2,0,0.3,0.41
S2G,SuS2G3,0,0.2,0.4
S2G,SuS2G4,0,0.29,0.67
S2G,SuS2G5,0.01,0.42,1.02
S2G,SuS2G6,0.02,0.28,0.2
S2S,SuS2S1,0.01,0.55,0.88
S2S,SuS2S2,0,0.71,0.9
S2S,SuS2S3,0,0.38,0.61
S2S,SuS2S4,0,0.08,0.27
S2S,SuS2S5,0,0.27,0.21
S2S,SuS2S6,0,0.07,0.46
