ID,AIC score,BIC score,C-index,G+,Gamma,Hybrid Centroid Similarity,PointBiserial,Sum of AVG parwise similarities,Sum of Centroid Similarities,Sum of squared errors,Tau,Trace Scatter Matrix,WB,min-max cut,CPCC
1,9981891.29135845,9981891.34057647,1521.0838622664119,1.14E-005,-1,28.9417136522,0.1562511094,111.5292083944,106.71840850961748,6.704246703716691E11,-1.04E-005,3.6873562427,0.6101404439,59.3287342131,0.6776765187
2,9991407.8445097,9991407.89372773,1.31E+003,5.9483687802271876E-5,-1,2.8731130792,0.0043494171,99.5783373133,8.94E+001,6.113989784264088E11,-4.3857520815058923E-5,31.1041838553,0.9916774129,2042.4269564341,0.6082172724
3,9917421.06601992,9917421.11523795,1.38E+003,5.95E-005,-1,11.1726633188,-0.135374183,105.5925523585,1.08E+002,6.72E+011,-5.27E-005,9.7072086749,1.3274358261,1175.3335905662,0.6742574339
4,9743875.75524596,9743875.80446398,9.45E+001,2.92E-004,-0.9887145124,0.5086938137,0.1717753778,66.6839504955,5.19E+001,2.86E+011,-1.68E-004,102.0958212566,0.5692533418,Infinity,0.7034309854
5,9896214.72663497,9896214.77585299,1143.7026427297,7.35E-005,-0.9518900344,0.5137040493,0.5006007467,100.7415772013,88.5211894321,4.64E+011,-6.73E-005,172.3194309159,0.5075678336,12.5145313551,0.8316267233
6,9972135.76493987,9972135.81415789,922.4912290149,1.42E-004,-0.9985380117,0.6697692616,0.0077584311,97.2285292125,74.7212624593,6.43E+011,-1.41E-004,111.5626929124,0.9883880838,5.7833533052,0.6174896563
7,9928116.10256609,9928116.15178411,904.4991227475,1.36E-004,-0.97586727,0.5989158994,0.2132833197,101.9911182231,81.1153450342,5.60E+011,-1.05E-004,135.4369538714,0.7328998948,4.9234207828,0.678234177
8,9896560.6455939,9896560.69481193,1142.0966771992,7.351334784963103E-5,-0.9518900344,0.4946225901,0.5044808339,97.7284649328,85.1493339538,4.5735423615341956E11,-7.150851968774402E-5,172.1501113187,0.5056758181,12.8877939011,0.7987048237
9,9892051.25428186,9892051.30349988,852.6307393939,1.51E-004,-0.9762792274,0.4935057209,0.1638432698,91.1889731081,73.9094726994,5.13E+011,-1.04E-004,149.7641660001,0.7851788675,101.6644044962,0.8083216994
10,9978045.58835301,9978045.63757103,974.895159386,1.325311059824334E-4,-1,1.4847806323,-0.0446185554,105.6821937222,87.8133553558,6.649199581986003E11,-1.325612228857414E-4,59.1423092702,1.0705404968,5.5988545742,0.7950271821
11,9926477.25375917,9926477.30297719,938.2089513255,1.325828759457078E-4,-0.931372549,0.581515748,0.2809783087,100.5470737823,79.1081765439,4.9602681965606104E11,-1.0791337760943426E-4,136.0378920399,0.6686824962,5.262731665,0.6823364735
12,9990467.56125548,9990467.61047351,961.3658218058,1.32E-004,-0.99609375,0.5212970198,0.0610032474,96.738005927,75.6432270181,6.32E+011,-1.27E-004,145.1058113732,0.9122527005,5.4453978173,0.8044862116
13,9986333.03994474,9986333.08916277,958.5447843617,1.33E-004,-1,1.9602260741,-0.0170287767,107.6815277933,95.6203289869,6.73E+011,-1.33E-004,48.7802556311,1.0262711998,5.2847519289,0.6968810924
14,9961257.59352006,9961257.64273808,842.1789016561,1.3247933601915902E-4,-0.99921875,0.6341381053,0.2067487704,104.3980246163,85.4684066284,5.55927309899327E11,-1.317327152427055E-4,134.7788532303,0.7394902663,5.3059247646,0.8571524891
15,9952165.5686232,9952165.61784122,433.3948254152,2.24E-004,-1,0.5016263911,0.0997570436,76.8084064679,55.9350635659,5.00E+011,-1.55E-004,111.5074177982,0.8459386555,75.2544290738,0.8458766991
16,9980398.79570688,9980398.8449249,797.0122553155,1.61E-004,-0.9967855995,0.7277459045,0.0829467235,104.0147644672,84.1490531944,5.98E+011,-1.61E-004,115.6297172928,0.8835534456,4.2806688291,0.8046569151
17,9992772.16913407,9992772.21835209,751.0497708965,1.62E-004,-1,0.6080599291,0.0837104166,93.7658784362,67.1624889029,6.14E+011,-1.62E-004,110.4537327475,0.882513676,4.3420885196,0.6483556382
18,9938475.93344834,9938475.98266637,878.4909407357,1.32E-004,-0.9921875,0.6682051991,0.2226970949,108.6492367702,96.7224348276,5.85E+011,-1.27E-004,144.7495993169,0.7234315844,5.0301059789,0.8702259381
19,9984814.45299209,9984814.50221012,788.7001377623,1.62E-004,-0.9968020467,0.7338724527,0.0892034076,103.7771141506,82.0862504926,5.87E+011,-1.61E-004,111.8535655434,0.8753372861,4.3144369323,0.807994221
20,9834861.76394323,9834861.81316125,474.5300706537,2.24E-004,-0.9839706893,0.5154485485,0.1132810422,93.1024587703,87.9300628596,5.45E+011,-1.80E-004,170.5894082356,0.8254209946,26.3699758898,0.8856574137
21,9781000.36614475,9781000.41536277,315.8789040958,2.53E-004,-0.9857520863,0.5586372426,0.1232232065,96.4215861127,94.2467214306,5.31E+011,-1.78E-004,168.7082676406,0.7854101585,39.7922318501,0.8802756564
22,9849210.57210619,9849210.62132422,540.0698293245,2.18E-004,-0.9500693481,0.6604209072,0.1102412222,97.9932951299,80.6079227333,5.13E+011,-1.90E-004,122.0553768832,0.8310098893,Infinity,0.7160292239
